ID	M-b	18K-b	19K-b	18C-b	20C-1
J74	41.56	37.22	9.818079518	61.08	80
ZY233	19.51	58.74	15.24621212	30.57	58.33333333
ZY357	26.3	40.76	36.13523573	65.97	75.80645161
ZY161	13.75	35	24.29945054	38.03	91.66666667
ZY189	15.64	38.39	19.01960784	30.45	39.84375
ZY8	5.94	19.14	17.84774436	21.72	58.06451613
ZY229	32.59	57.83	37.5	47.12	77.41935484
ZY403	19.93	42.23	4.712301587	42.13	70.3125
ZY1	NA	NA	NA	75.59	NA
ZY225	17.39	57.11	36.49918301	43.76	75
J56	49.62	52.73	39.24457994	61.59	57.8125
J7	28.05	50.3	22.06737346	70.09	52.34375
J16	19.39	50.17	27.08333333	53.67	60.15625
ZY3	23.26	49.13	26.57271242	55.07	77.20588235
J4	9.23	28.25	11.46480331	23.69	52.5862069
ZY307	9.09	22.29	8.061334292	39.04	38.97058824
ZY153	11.68	64.39	25.85227272	48.16	65.625
ZY347	5.61	19.51	1.515957447	15.41	39.28571429
ZY487	43.04	56.13	63.45315904	67.91	53.125
